地图,第一波,第二波,第三波,第四波,第五波,第六波,第七波,第八波,第九波,敌方特殊/设施,友方辅助/目标
"北极护航 OP_12","T-22、莱比锡、柯尼斯堡","海军上将施佩伯爵、约克、国王、T-61","慕尼黑、魏玛、艾特尔·弗里德里希亲王、纽伦堡、Z-31、T-61、T-22","约克、海因里希亲王、Z-31、慕尼黑、海军上将施佩伯爵、Z-35、魏玛","莱伯勒希特·马斯、海军上将施佩伯爵、纽伦堡、Z-35、Z-39、Z-31、魏玛、Z-23、古斯塔夫·尤里乌斯·梅克尔","—","—","—","—","尾BOSS：约克；BOSS驱逐：Z-38（德国 T7 驱逐，显示名 Fritz 1~3）；增援：纽伦堡、T-61、海军上将施佩伯爵、莱比锡、莱伯勒希特·马斯、Z-39；无岸炮","A、B、C、D、E、F、G、H、I、J、K、L"
"东京快车 OP_13","峰风、神风","古鹰、东云、青叶","青叶、吹雪、白露、妙高、晓、初春","最上、晓、摩耶、白露、青叶、夕立","夕立、朝潮、白露、吾妻、秋月","—","—","—","—","尾BOSS：武藏；增援：爱宕、朝潮、秋月、阳炎、夕云、最上、高梁、吾妻；目标单位：阳炎、睦月；无岸炮","—"
"太平洋攻势 OP_14","古鹰、峰风、睦月","东云、青叶、金刚","青叶、初春、吹雪、白露、妙高、扶桑","长门、阳炎、摩耶、雄物、陆奥、夕立","秋月、妙高、阳炎、五濑、陆奥、青叶、朝潮、扶桑、雄物","—","—","—","—","尾BOSS：武藏；增援：五濑、青叶、东云、吹雪、初春；无岸炮","鹰"
"神盾 Ridge","妙高、扶桑、秋月、十胜、北风、陆奥、阳炎、白露、青叶、晓","妙高、青叶、古鹰、扶桑、五濑、陆奥","长门、出云、天城","妙高、十胜、最上、北风、摩耶、秋月、雄物、爱宕","妙高、青叶、最上、雄物、摩耶、十胜","长门、天城、扶桑、伊势、陆奥","—","长门、妙高、阳炎、青叶、伊势、晓","妙高、最上、爱宕、五濑、雄物","ART_*（岸炮）","史密斯、航空母舰、艾克洛夫、运输舰 1、运输舰 2、运输舰 3、运输舰 4、运输舰 5"
"杀人鲸 NavalBase","—","—","—","—","—","—","—","—","—","运输船：运输船（剧情专用）；航母：扶桑、吹雪、青叶；主力波：巴伐利亚、纽伦堡、格奈森瑙、恩斯特·盖德；增援1：纽伦堡、T-22；增援2：巴伐利亚、纽伦堡；增援3：恩斯特·盖德、巴伐利亚、纽伦堡；增援4：格奈森瑙、莱伯勒希特·马斯、约克；增援5：俾斯麦、希佩尔上将、Z-23；无岸炮","指挥官詹金斯"
"营救猛禽 Labyrinth","扶桑、白露、青叶","妙高、青叶、最上","初春、吹雪","妙高、青叶、阳炎、金刚、古鹰、长门、五濑、陆奥","青叶、金刚、妙高、长门、古鹰、天城、矢矧、扶桑、吾妻、爱宕、纪伊、五濑、最上、雄物、摩耶、陆奥","青叶、吹雪、最上、妙高、四万十、十胜、雄物","最上、青叶","—","—","特殊设施：环境设施（剧情专用，超高血量）；ART_*（岸炮）","工程师、猛禽、阿森纳、飞行员"
"防守纽波特 Naval_Defense","金刚、巴伐利亚、吹雪、青叶、莱伯勒希特·马斯、石见、波美拉尼亚、北风、高梁、埃尔宾","Z-23、北风、武藏、大和、约克、阳炎、白露、妙高、青叶、天城、Z-52、春云、萨摩","矢矧、Z-23、青叶、古鹰、球磨、高梁、Z-52、伊吹、吾妻","长门、罗恩、妙高、青叶、最上、约克、白露、阳炎、莱伯勒希特·马斯、吹雪、巴伐利亚、金刚、美因茨、藏王、敷岛、兴登堡","格奈森瑙、希佩尔上将、伊吹、青叶、阳炎、妙高、白露、约克、莱伯勒希特·马斯、巴伐利亚、金刚、吹雪、最上、兴登堡、普鲁士、春云、淀、藏王、北风、慕尼黑","—","—","—","—","ART_*（岸炮）","三角洲、不列颠人、保修员 1、保修员 2、威士忌、布拉沃河、扬基佬、探戈、罗密欧、通讯舰、阿尔法"
"那莱 Narai","白劳易、利安得、伊丽莎白女王","法拉格特、伊丽莎白女王","奥马哈、恰巴耶夫、拉加利索尼埃","达拉斯、奥马哈、马汉、印第安纳波利斯、纽约、科罗拉多、杰维斯、法拉格特、密苏里、尼古拉斯、布列塔尼、安克雷奇、列克星敦、新墨西哥","利安得、法拉格特、克利夫兰","—","—","—","—","敌方运输：运输船（剧情专用）、清醒、通讯舰（游戏内名“通讯设施”，实为运输舰）；无岸炮","前导运输舰、突击运输舰 1 号、突击运输舰 2 号、突击运输舰 3 号、突击运输舰 4 号"
"最终前线 Atoll","新墨西哥、怀俄明、达拉斯、尼古拉斯、印第安纳波利斯、纽约、马汉","克莱姆森","达拉斯、奥马哈、亚特兰大","航母（剧情专用）、法拉格特、西姆斯","奥马哈、彭萨科拉、克利夫兰、北卡罗来纳、威奇塔、科罗拉多、达拉斯、亚利桑那、新墨西哥","克利夫兰、本森、威奇塔、法拉格特、密苏里、马汉、基德、西雅图、依阿华、海伦娜、巴尔的摩、佛罗里达、亚特兰大、西姆斯、圣地亚哥、科罗拉多","—","—","—","终局：奥马哈、凤凰城、马布尔黑德；ART_*（岸炮）","Ka"
"赫尔墨斯 Hermes","恩斯特·盖德、莱伯勒希特·马斯、沙恩霍斯特、巴伐利亚、提尔皮茨、格奈森瑙、约克、纽伦堡、Z-23、Z-31、T-61","莱伯勒希特·马斯、Z-31、Z-23、奥古斯特·冯·帕塞瓦尔、恩斯特·盖德、巴伐利亚、欧根亲王、希佩尔上将、纽伦堡、Z-39、莱比锡、慕尼黑、艾特尔·弗里德里希亲王、魏玛","魏玛、约克、慕尼黑、恩斯特·盖德、Z-23、古斯塔夫·尤里乌斯·梅克尔、T-61","—","—","—","—","—","—","ART_*（岸炮）","加布里埃尔、卢卡斯、狮子座、鲁昂"
