game,division_id,size,classes,slots
a2295601656516458,268981949,2,Crui+Subm,P4+P6
a6037265498749810,942711505,7,Batt+Crui+Dest,P1+P2+P3+P4+P5+P6+P7
a5742639333982583,537737783,2,Batt,P3+P5
a5840903890763417,940942556,3,Batt+Crui,P4+P5+P7
a6149188053429768,940124852,2,AirC+Batt,P5+P8
a6646742836267231,806629329,2,Batt,P3+P5
a6646742836267231,940860356,2,Batt+Crui,P2+P4
a5642566597998169,806023870,2,Batt+Crui,P2+P5
a5642566597998169,806048581,3,Batt+Dest+Subm,P4+P6+P7
a7314137804915649,940033364,2,Batt+Crui,P6+P7
a7314137804915649,805896585,2,Batt+Crui,P2+P4
a7314137804915649,805895178,2,Batt,P3+P5
a8454408672505142,940577439,2,Batt,P3+P5
a8742235905929385,806738284,2,Batt+Crui,P4+P5
a7766887487887401,940124930,2,Batt,P3+P5
a7903884060852134,807511386,2,Batt,P3+P5
a6692935211870222,940293706,2,Batt,P3+P5
a7865469873697375,940578575,2,Batt,P3+P5
a2406055339820737,403022268,2,Batt+Crui,P4+P5
a2438598311948021,403282812,3,Batt+Crui+Dest,P4+P6+P7
a5132148397061526,806658116,3,Batt+Crui,P2+P4+P5
a5195649488616778,806907037,2,Batt+Crui,P4+P5
a3525873578366729,805859218,2,Crui,P2+P4
a6517958250453211,940359861,2,Crui+Dest,P1+P2
a6517958250453211,940362411,2,Batt+Crui,P4+P5
a3857745703061829,939885160,2,Batt+Dest,P4+P6
a3705983033913227,806227668,2,Batt+Crui,P4+P5
a4205337406589265,806227668,2,Crui,P2+P4
a3675913968219000,939885609,2,Batt+Dest,P4+P6
a4379992252028186,939885609,2,Crui,P2+P4
a3793724921405348,806184358,2,Crui,P2+P4
a4175010643111795,806184358,2,Batt+Crui,P4+P5
a4324106137996140,805775687,2,Batt+Crui,P4+P5
a4569658008246482,805775687,2,Crui+Dest,P4+P6
a3763084625066397,939891165,2,Batt+Crui,P4+P5
a3763084625066397,939883561,2,Crui+Dest,P1+P2
a3932168897577020,939883561,2,Crui+Dest,P4+P6
a3745178904850605,940534238,2,Batt+Crui,P4+P5
a4294848819399765,940555133,2,AirC+Crui,P4+P8
a4294848819399765,940534238,2,Crui+Dest,P1+P2
a4304946287513279,940534238,2,Crui+Dest,P4+P6
a6311486288580385,940233345,2,Batt,P3+P5
a6213883156952573,806426406,2,Batt,P3+P5
a4881386734256702,805803597,2,Crui,P2+P4
a3950461163548451,940088907,2,Crui,P2+P4
a3699304361236657,940754054,2,Crui+Dest,P4+P6
a4140354552867366,940754054,2,Crui,P6+P7
a4400264498788367,940754054,2,Batt,P3+P5
a3755564138020940,805752340,2,Batt,P3+P5
a4323526318367911,806038444,2,Crui+Dest,P4+P6
a3758154003904351,805785986,2,Batt,P3+P5
a4395016049614017,940302553,2,Crui,P2+P4
a4542728564859969,940302553,2,Batt+Crui,P4+P5
a3827298683009173,805780453,2,Batt,P3+P5
a4206681734205277,805797197,2,Batt+Crui,P4+P5
a4206681734205277,805780453,2,Crui,P1+P2
a4131124669618044,940288565,2,Batt+Dest,P4+P6
a3848915253581097,940507619,2,Batt+Dest,P4+P6
a4239400795404662,940976036,2,Dest+Subm,P1+P2
a4239400795404662,806742010,2,Batt+Crui,P4+P5
a4626068111133117,806742010,2,Batt+Crui,P4+P5
a3697221303914290,941163180,2,Batt+Crui,P4+P5
a3642915737509718,805568664,2,Crui,P2+P4
a3745543981134340,805752977,2,Crui,P1+P2
a3745543981134340,940083070,2,Batt+Crui,P4+P5
a4021126262369607,806488349,2,Batt,P3+P5
a4853121557158782,940809987,2,Batt+Crui,P4+P5
a4453294462061709,939930952,2,Crui,P1+P2
a4896805670122062,806468004,2,Crui,P2+P4
a4677161043292168,806934016,2,Crui+Dest,P4+P6
a3888514853518191,941382914,2,Crui,P2+P4
a3928393624949124,939899500,2,Dest+Subm,P6+P7
a4498163986441567,805530524,2,Batt+Crui,P4+P5
a4630947195452962,805801825,2,Crui+Dest,P4+P6
a3054243226340408,940349570,2,Crui,P2+P4
