bracket,slot,Battleship,Cruiser,Destroyer,Submarine,AirCarrier,total
ALL,P1,0,0,0,0,0,0
ALL,P2,0,0,0,0,0,0
ALL,P3,0,0,0,0,0,0
ALL,P4,0,0,0,0,0,0
ALL,P5,0,0,0,0,0,0
ALL,P6,0,0,0,0,0,0
ALL,P7,0,0,0,0,0,0
ALL,P8,0,0,0,0,0,0
BASE,P1,0,0,2,2,0,4
BASE,P2,0,4,0,1,0,5
BASE,P3,2,3,0,0,0,5
BASE,P4,0,5,0,0,0,5
BASE,P5,4,1,0,0,0,5
BASE,P6,0,1,4,0,0,5
BASE,P7,1,3,0,1,0,5
BASE,P8,0,0,0,0,1,1
MEDIUM,P1,2,34,10,9,0,55
MEDIUM,P2,2,54,1,1,0,58
MEDIUM,P3,42,10,0,2,0,54
MEDIUM,P4,36,21,1,0,0,58
MEDIUM,P5,58,0,0,0,0,58
MEDIUM,P6,0,14,37,5,0,56
MEDIUM,P7,46,8,1,2,0,57
MEDIUM,P8,0,0,0,0,10,10
HIGH,P1,4,42,13,14,0,73
HIGH,P2,1,71,1,0,0,73
HIGH,P3,61,9,0,2,0,72
HIGH,P4,40,34,0,0,0,74
HIGH,P5,73,0,0,0,0,73
HIGH,P6,5,26,36,5,0,72
HIGH,P7,58,13,0,3,0,74
HIGH,P8,0,0,0,0,3,3
