#,船,等级,舰种,绝对强度%,同级强度%,同舰种同级强度%,相对经验(中位),场均经验,胜率,五星率,玩家数,场次
1,Varese,10,Cruiser,100.0,100.0,100.0,1.578,3068.2,0.787,0.435,1055,15216
2,Hotaka,9,Battleship,99.9,100.0,100.0,1.362,2501.9,0.752,0.389,760,8157
3,Gato,10,Submarine,99.7,99.4,100.0,1.341,2514.2,0.891,0.567,247,10014
4,Libertad,10,Battleship,99.6,98.8,100.0,1.311,2458.5,0.853,0.513,6485,203704
5,Schlieffen,10,Battleship,99.5,98.1,97.6,1.298,2254.3,0.83,0.475,9289,348876
6,Colbert,10,Cruiser,99.3,97.5,98.2,1.295,2675.7,0.853,0.521,965,31290
7,BA Arona's Whale,10,Submarine,99.2,96.9,91.7,1.294,2681.0,0.921,0.619,268,8663
8,I-56 '44,10,Submarine,99.1,96.3,83.3,1.292,2508.4,0.887,0.564,116,4976
9,Thrasher,10,Submarine,98.9,95.7,75.0,1.284,2129.1,0.836,0.502,192,5332
10,Grosser Kurfürst,10,Battleship,98.8,95.0,95.1,1.278,2102.7,0.792,0.425,5613,186135
11,Bremen,10,Cruiser,98.7,94.4,96.5,1.277,2453.9,0.905,0.57,1866,64389
12,Seal,10,Submarine,98.5,93.8,66.7,1.274,2337.1,0.858,0.522,115,4562
13,Napoli,10,Cruiser,98.4,93.2,94.7,1.265,2268.1,0.845,0.505,5919,211110
14,Von Zuckerhoff,10,Battleship,98.2,92.5,92.7,1.261,2402.1,0.912,0.545,1581,64240
15,Salem,10,Cruiser,98.1,91.9,93.0,1.258,2311.0,0.836,0.494,3454,109549
16,Yodo,10,Cruiser,98.0,91.3,91.2,1.256,2204.7,0.822,0.453,695,32778
17,Smolensk,10,Cruiser,97.8,90.7,89.5,1.254,2348.5,0.821,0.47,1613,43454
18,Napoli B,10,Cruiser,97.7,90.1,87.7,1.253,2370.6,0.855,0.522,492,12483
19,K-1,10,Submarine,97.6,89.4,58.3,1.252,2299.8,0.855,0.533,214,4794
20,Smolensk B,10,Cruiser,97.6,89.4,86.0,1.252,2497.2,0.851,0.461,41,1355
21,Des Moines,10,Cruiser,97.3,88.2,84.2,1.25,2116.9,0.797,0.445,2421,54949
22,Prinz Adalbert,10,Cruiser,97.2,87.6,82.5,1.242,2345.5,0.905,0.561,1372,31767
23,I-56,8,Submarine,97.0,100.0,100.0,1.24,2383.5,0.879,0.534,1813,78597
24,Hannover,11,Battleship,96.9,100.0,100.0,1.236,2122.4,0.76,0.363,944,19100
25,Minotaur,10,Cruiser,96.8,87.0,80.7,1.233,2196.0,0.817,0.466,1892,38209
26,Archerfish,10,Submarine,96.8,87.0,50.0,1.233,2251.8,0.862,0.525,232,5330
27,Jinan,10,Cruiser,96.5,85.7,78.9,1.232,2315.8,0.829,0.486,2248,71537
28,Worcester,10,Cruiser,96.4,85.1,77.2,1.23,2149.5,0.819,0.46,1631,37124
29,Sibir,10,Battleship,96.2,84.5,90.2,1.225,2415.3,0.909,0.578,1050,25863
30,Balao,10,Submarine,96.1,83.9,41.7,1.222,1858.3,0.815,0.468,268,6938
31,Bremen Golden,10,Cruiser,96.0,83.2,75.4,1.214,2533.9,0.909,0.582,159,3321
32,Hindenburg,10,Cruiser,95.8,82.6,73.7,1.209,2004.5,0.774,0.414,1966,49960
33,Valparaíso,9,Battleship,95.7,99.3,98.2,1.207,2377.7,0.912,0.603,2635,112707
34,Jacksonville,11,Cruiser,95.5,95.2,100.0,1.203,2183.8,0.768,0.391,496,9227
35,Preussen,10,Battleship,95.4,82.0,87.8,1.202,1915.4,0.781,0.415,1775,36770
